survey_id,company_id,response_date,primary_pain_point,secondary_pain_point,budget_band,urgency_timeline,prev_advisory_firm,satisfaction_current_advisory,nps_score,key_decision_maker,digital_readiness_score,willing_to_retainer,raised_funding_before,target_raise_usd,service_selected
SV0071,CO0423,2021-04-14,Valuation clarity,M&A targets,$15K-$50K,No urgency,In-house only,5,10,COO,5,1,1,4980000,M&A Advisory
SV0072,CO0404,2021-12-11,Regulatory compliance,Strategic planning,$15K-$50K,No urgency,In-house only,3,7,CFO,5,1,1,9020000,Fundraising
SV0073,CO0338,2024-03-21,M&A targets,Access to capital,>$150K,1-3 months,Big 4,5,5,CFO,4,1,0,720000,Due Diligence
SV0074,CO0050,2023-06-07,M&A targets,Strategic planning,$5K-$15K,3-6 months,None,4,10,CFO,2,1,1,1130000,Investor Matching
SV0075,CO0207,2023-03-20,Regulatory compliance,Investor network,$15K-$50K,No urgency,Local boutique,2,5,Founder,2,0,0,3770000,Fundraising
SV0076,CO0052,2023-10-14,Valuation clarity,Investor network,$50K-$150K,No urgency,In-house only,5,10,Board Member,4,0,0,1450000,Due Diligence
SV0077,CO0342,2021-03-02,Regulatory compliance,Working capital,$5K-$15K,6-12 months,In-house only,5,5,Board Member,4,0,1,87920000,Fundraising
SV0078,CO0371,2023-02-23,M&A targets,Working capital,<$5K,1-3 months,In-house only,5,4,CFO,5,1,1,5020000,Investor Matching
SV0079,CO0150,2024-10-31,M&A targets,Working capital,>$150K,3-6 months,In-house only,5,7,Founder,5,1,1,2770000,Strategic Advisory
SV0080,CO0053,2023-05-24,Valuation clarity,Investor network,$15K-$50K,6-12 months,In-house only,1,1,CFO,2,1,1,1790000,Strategic Advisory
SV0081,CO0213,2021-12-20,M&A targets,Strategic planning,$15K-$50K,1-3 months,International bank,5,6,Board Member,5,0,0,1860000,Due Diligence
SV0082,CO0066,2022-12-26,Working capital,M&A targets,$15K-$50K,3-6 months,Local boutique,4,3,COO,5,0,1,3090000,Strategic Advisory
SV0083,CO0232,2022-03-16,Regulatory compliance,Investor network,<$5K,6-12 months,None,4,0,Founder,2,0,1,3360000,Investor Matching
SV0084,CO0373,2022-01-19,Working capital,Strategic planning,>$150K,6-12 months,Local boutique,1,4,Founder,4,0,1,1900000,Due Diligence
SV0085,CO0299,2022-07-18,Working capital,Access to capital,$5K-$15K,3-6 months,Big 4,5,2,CFO,2,1,1,2280000,Fundraising
SV0086,CO0338,2022-07-28,Valuation clarity,Investor network,$5K-$15K,3-6 months,In-house only,3,3,COO,1,0,1,11510000,M&A Advisory
SV0087,CO0151,2023-07-03,Regulatory compliance,M&A targets,$5K-$15K,No urgency,Big 4,5,6,Board Member,2,1,0,11980000,Fundraising
SV0088,CO0205,2021-11-01,Valuation clarity,Regulatory compliance,$5K-$15K,3-6 months,None,4,4,CEO,1,1,1,3860000,Investor Matching
SV0089,CO0320,2021-03-12,M&A targets,Access to capital,$50K-$150K,6-12 months,None,2,3,Board Member,2,1,0,780000,Due Diligence
SV0090,CO0255,2024-06-11,Investor network,Valuation clarity,$50K-$150K,6-12 months,Local boutique,2,0,Board Member,1,1,0,5140000,Fundraising
SV0091,CO0489,2024-06-22,Valuation clarity,Regulatory compliance,>$150K,6-12 months,Big 4,3,5,COO,1,0,1,14200000,Due Diligence
SV0092,CO0137,2024-06-17,Valuation clarity,Strategic planning,$5K-$15K,6-12 months,None,5,10,Founder,2,0,0,11800000,Strategic Advisory
SV0093,CO0369,2022-05-19,Investor network,Working capital,$15K-$50K,3-6 months,None,1,9,Board Member,5,1,1,6250000,M&A Advisory
SV0094,CO0135,2024-08-18,Strategic planning,Access to capital,$15K-$50K,3-6 months,Big 4,5,5,Founder,3,1,0,12440000,Investor Matching
SV0095,CO0425,2022-08-28,M&A targets,Working capital,$50K-$150K,3-6 months,None,3,6,COO,5,0,1,3160000,Fundraising
SV0096,CO0054,2023-10-19,Regulatory compliance,Access to capital,$15K-$50K,Immediate,None,3,0,COO,1,0,0,5620000,M&A Advisory
SV0097,CO0065,2023-04-24,Access to capital,M&A targets,$5K-$15K,1-3 months,Big 4,3,3,CFO,2,0,0,1520000,Investor Matching
SV0098,CO0002,2024-02-02,Strategic planning,Investor network,$5K-$15K,1-3 months,Big 4,2,8,CEO,2,0,0,4020000,Investor Matching
SV0099,CO0132,2023-09-09,Investor network,Valuation clarity,$5K-$15K,6-12 months,Big 4,5,9,COO,2,1,1,11340000,Strategic Advisory
SV0100,CO0334,2021-05-05,Access to capital,Regulatory compliance,$15K-$50K,1-3 months,None,5,5,COO,2,1,0,1660000,Due Diligence
SV0101,CO0032,2021-06-29,M&A targets,Working capital,>$150K,Immediate,In-house only,1,1,Founder,3,0,1,1270000,Due Diligence
SV0102,CO0356,2022-07-27,Valuation clarity,Regulatory compliance,$5K-$15K,Immediate,Big 4,3,3,COO,4,1,0,3310000,M&A Advisory
SV0103,CO0386,2023-02-24,Valuation clarity,M&A targets,<$5K,3-6 months,None,3,5,Board Member,1,1,0,2390000,Strategic Advisory
SV0104,CO0360,2021-10-09,Strategic planning,Regulatory compliance,<$5K,Immediate,None,4,3,CFO,3,0,0,5740000,Investor Matching
SV0105,CO0498,2023-05-09,M&A targets,Strategic planning,$50K-$150K,3-6 months,None,4,9,CFO,5,1,1,1910000,Strategic Advisory
SV0106,CO0243,2022-02-13,Regulatory compliance,Valuation clarity,$5K-$15K,Immediate,None,2,6,Board Member,4,1,1,16730000,Strategic Advisory
SV0107,CO0192,2024-08-09,Regulatory compliance,M&A targets,$5K-$15K,6-12 months,None,5,2,COO,4,1,1,830000,M&A Advisory
SV0108,CO0142,2023-12-13,Working capital,Access to capital,$5K-$15K,No urgency,Local boutique,1,5,CEO,2,1,0,10510000,Due Diligence
SV0109,CO0148,2022-05-26,M&A targets,Access to capital,$15K-$50K,No urgency,Local boutique,1,3,COO,3,1,1,1400000,Strategic Advisory
SV0110,CO0089,2024-07-15,M&A targets,Working capital,$15K-$50K,1-3 months,Big 4,3,2,CFO,5,0,1,500000,Strategic Advisory
SV0111,CO0490,2024-01-19,Working capital,Access to capital,$15K-$50K,3-6 months,International bank,1,2,CEO,2,1,0,3810000,Strategic Advisory
SV0112,CO0049,2021-02-09,M&A targets,Access to capital,$5K-$15K,3-6 months,None,3,1,Founder,2,1,1,2330000,Fundraising
SV0113,CO0136,2023-02-23,M&A targets,Investor network,$15K-$50K,1-3 months,In-house only,5,10,Founder,1,0,1,990000,Strategic Advisory
SV0114,CO0476,2024-12-31,Working capital,Valuation clarity,<$5K,1-3 months,None,1,2,COO,4,1,0,560000,Strategic Advisory
SV0115,CO0191,2023-01-06,Strategic planning,Access to capital,<$5K,Immediate,Local boutique,3,9,COO,5,1,0,2980000,Investor Matching
SV0116,CO0430,2023-09-10,M&A targets,Access to capital,$15K-$50K,6-12 months,None,5,0,CEO,4,0,0,7960000,Fundraising
SV0117,CO0149,2024-01-21,M&A targets,Regulatory compliance,$5K-$15K,1-3 months,In-house only,5,2,CEO,3,1,1,5380000,Strategic Advisory
SV0118,CO0087,2023-09-20,Valuation clarity,Working capital,$15K-$50K,3-6 months,Big 4,3,8,COO,1,0,0,3180000,Strategic Advisory
SV0119,CO0416,2022-12-06,Access to capital,M&A targets,<$5K,3-6 months,None,3,3,CFO,2,1,0,4840000,M&A Advisory
SV0120,CO0008,2024-03-04,Regulatory compliance,Strategic planning,<$5K,3-6 months,Local boutique,2,2,Founder,1,0,0,2920000,M&A Advisory
SV0121,CO0223,2023-10-26,Access to capital,Strategic planning,$50K-$150K,6-12 months,None,5,7,CEO,2,1,0,720000,Fundraising
SV0122,CO0357,2022-10-21,Strategic planning,Regulatory compliance,$15K-$50K,3-6 months,International bank,3,0,CFO,1,0,0,720000,Investor Matching
SV0123,CO0016,2023-03-07,Strategic planning,M&A targets,$15K-$50K,3-6 months,Local boutique,5,4,COO,2,0,1,2450000,Fundraising
SV0124,CO0296,2022-07-08,Valuation clarity,Regulatory compliance,$50K-$150K,3-6 months,None,1,0,Board Member,4,0,0,2550000,Fundraising
SV0125,CO0106,2022-01-04,Investor network,Strategic planning,$15K-$50K,Immediate,Big 4,4,6,CEO,4,1,1,7030000,M&A Advisory
SV0126,CO0283,2021-02-23,Access to capital,Regulatory compliance,$50K-$150K,1-3 months,None,4,4,Board Member,4,1,0,6400000,M&A Advisory
SV0127,CO0104,2022-10-16,Investor network,Access to capital,$15K-$50K,No urgency,Local boutique,3,1,CFO,4,1,1,5490000,Investor Matching
SV0128,CO0361,2024-05-07,Valuation clarity,Strategic planning,$5K-$15K,No urgency,None,3,0,Founder,1,1,1,2270000,Strategic Advisory
SV0129,CO0146,2022-03-25,Regulatory compliance,Working capital,$5K-$15K,6-12 months,Local boutique,5,10,CFO,2,1,0,750000,Investor Matching
SV0130,CO0035,2021-03-02,Investor network,Working capital,$15K-$50K,1-3 months,In-house only,3,6,Founder,4,0,1,4530000,Strategic Advisory
SV0131,CO0113,2022-07-30,Valuation clarity,Working capital,$5K-$15K,Immediate,None,5,0,CFO,1,1,1,5070000,Due Diligence
SV0132,CO0308,2021-04-30,Strategic planning,Valuation clarity,$5K-$15K,1-3 months,In-house only,3,2,CEO,2,0,1,280000,M&A Advisory
SV0133,CO0399,2023-08-25,M&A targets,Investor network,$5K-$15K,6-12 months,Local boutique,5,10,CEO,1,1,1,1300000,Due Diligence
SV0134,CO0447,2023-12-21,Regulatory compliance,Access to capital,<$5K,6-12 months,None,3,5,Board Member,4,1,1,1500000,Due Diligence
SV0135,CO0053,2023-01-03,Working capital,Investor network,<$5K,6-12 months,Big 4,2,5,CFO,3,0,1,3380000,M&A Advisory
SV0136,CO0347,2024-04-11,Strategic planning,Access to capital,<$5K,3-6 months,Local boutique,5,6,CFO,1,0,1,1340000,Due Diligence
SV0137,CO0081,2022-04-22,Strategic planning,Regulatory compliance,<$5K,Immediate,Big 4,2,10,Board Member,4,1,1,2890000,Fundraising
SV0138,CO0104,2021-11-23,M&A targets,Valuation clarity,$5K-$15K,Immediate,None,2,10,COO,5,0,1,2430000,Strategic Advisory
SV0139,CO0322,2021-07-25,Regulatory compliance,Valuation clarity,$15K-$50K,Immediate,None,2,0,CFO,2,0,1,2560000,Investor Matching
SV0140,CO0369,2022-05-23,Regulatory compliance,Working capital,$5K-$15K,3-6 months,International bank,2,6,CFO,4,0,1,1470000,M&A Advisory
SV0141,CO0242,2024-09-07,Access to capital,M&A targets,$50K-$150K,1-3 months,Local boutique,1,1,CFO,5,1,1,1580000,Fundraising
SV0142,CO0031,2022-05-09,Regulatory compliance,M&A targets,$50K-$150K,6-12 months,Local boutique,4,5,COO,1,1,0,1020000,Investor Matching
SV0143,CO0317,2022-06-30,Access to capital,Working capital,$15K-$50K,3-6 months,None,1,7,CEO,1,0,1,4390000,Investor Matching
SV0144,CO0192,2023-12-29,Investor network,Strategic planning,$15K-$50K,1-3 months,International bank,3,4,Board Member,5,0,0,5310000,Investor Matching
SV0145,CO0357,2021-04-25,Strategic planning,Working capital,$5K-$15K,1-3 months,In-house only,3,9,COO,5,1,1,1390000,Due Diligence
SV0146,CO0361,2022-03-26,Regulatory compliance,Strategic planning,<$5K,Immediate,None,4,2,Founder,2,1,0,13730000,Due Diligence
SV0147,CO0233,2024-03-25,Strategic planning,Working capital,$50K-$150K,6-12 months,None,4,10,Founder,1,0,0,2190000,Due Diligence
SV0148,CO0098,2023-03-07,Investor network,Access to capital,<$5K,3-6 months,In-house only,4,7,COO,5,0,1,13860000,Due Diligence
SV0149,CO0034,2022-12-28,Regulatory compliance,Investor network,>$150K,1-3 months,International bank,2,7,COO,3,1,0,1580000,Fundraising
SV0150,CO0243,2021-12-22,Strategic planning,Working capital,$15K-$50K,6-12 months,Local boutique,1,3,CEO,3,1,1,400000,Due Diligence
SV0151,CO0439,2021-12-27,Strategic planning,M&A targets,$5K-$15K,3-6 months,In-house only,3,7,Founder,5,1,1,4490000,M&A Advisory
SV0152,CO0059,2022-04-30,Access to capital,Strategic planning,$15K-$50K,3-6 months,Local boutique,1,4,Board Member,2,1,0,3850000,Investor Matching
SV0153,CO0259,2024-04-28,Strategic planning,Valuation clarity,$15K-$50K,6-12 months,None,1,10,CFO,1,0,0,3100000,Fundraising
SV0154,CO0017,2022-10-14,Working capital,Access to capital,<$5K,6-12 months,Local boutique,1,4,CFO,3,0,1,1580000,Due Diligence
SV0155,CO0078,2024-11-29,M&A targets,Valuation clarity,$5K-$15K,3-6 months,Local boutique,4,2,CEO,5,0,0,2900000,Investor Matching
SV0156,CO0206,2023-01-05,Regulatory compliance,Access to capital,$15K-$50K,1-3 months,In-house only,4,6,CEO,5,0,1,1800000,Fundraising
SV0157,CO0302,2024-04-26,Valuation clarity,Regulatory compliance,$15K-$50K,1-3 months,None,3,10,Founder,4,1,1,2220000,Investor Matching
SV0158,CO0166,2021-02-27,M&A targets,Access to capital,$5K-$15K,6-12 months,Local boutique,3,10,Board Member,5,1,0,6960000,Fundraising
SV0159,CO0291,2024-12-11,Access to capital,Regulatory compliance,$5K-$15K,3-6 months,International bank,3,8,Board Member,2,1,0,3610000,Strategic Advisory
SV0160,CO0385,2024-12-05,Working capital,Regulatory compliance,$50K-$150K,6-12 months,None,1,8,COO,3,0,1,5520000,Fundraising
SV0161,CO0112,2022-12-22,Strategic planning,Regulatory compliance,$15K-$50K,6-12 months,Big 4,4,0,CEO,4,1,1,2380000,Due Diligence
SV0162,CO0413,2024-03-08,Working capital,Access to capital,$15K-$50K,No urgency,In-house only,2,0,CFO,3,1,0,2130000,Investor Matching
SV0163,CO0388,2024-02-29,Strategic planning,Investor network,>$150K,1-3 months,Big 4,1,9,CFO,3,0,0,950000,Investor Matching
SV0164,CO0317,2021-10-19,Valuation clarity,Strategic planning,$5K-$15K,1-3 months,Local boutique,5,10,Founder,2,1,1,2070000,Investor Matching
SV0165,CO0353,2024-02-28,Investor network,Strategic planning,$15K-$50K,1-3 months,In-house only,1,4,CFO,5,0,1,110000,M&A Advisory
SV0166,CO0145,2022-01-21,Strategic planning,Working capital,$50K-$150K,6-12 months,None,4,0,Board Member,2,0,0,1660000,M&A Advisory
SV0167,CO0156,2023-10-06,Access to capital,Strategic planning,$50K-$150K,1-3 months,In-house only,5,3,Board Member,5,1,1,2760000,Due Diligence
SV0168,CO0178,2024-01-16,M&A targets,Valuation clarity,$5K-$15K,1-3 months,Local boutique,1,0,CEO,4,1,1,5270000,Strategic Advisory
SV0169,CO0346,2022-09-25,Investor network,Access to capital,$5K-$15K,Immediate,Big 4,4,1,Founder,2,0,1,2290000,M&A Advisory
SV0170,CO0136,2021-12-26,Investor network,Access to capital,$15K-$50K,1-3 months,Big 4,4,1,CFO,2,0,1,4250000,Fundraising
SV0171,CO0418,2023-10-02,Strategic planning,Working capital,$5K-$15K,Immediate,In-house only,2,3,CEO,1,1,1,340000,Due Diligence
SV0172,CO0315,2021-03-19,Strategic planning,Valuation clarity,$50K-$150K,1-3 months,None,1,7,COO,2,1,1,2830000,Strategic Advisory
SV0173,CO0018,2021-07-04,Access to capital,Strategic planning,<$5K,3-6 months,None,4,1,COO,1,1,1,560000,Fundraising
SV0174,CO0351,2021-04-26,M&A targets,Access to capital,$5K-$15K,Immediate,None,3,8,CFO,5,0,1,900000,Investor Matching
SV0175,CO0443,2022-04-22,Strategic planning,Valuation clarity,<$5K,Immediate,None,4,8,CFO,5,0,1,2490000,M&A Advisory
SV0176,CO0155,2024-05-17,Access to capital,Regulatory compliance,$15K-$50K,6-12 months,Big 4,2,1,CFO,5,0,1,10750000,Fundraising
SV0177,CO0272,2022-03-25,Strategic planning,Investor network,$50K-$150K,6-12 months,In-house only,4,0,Board Member,1,0,0,4350000,Strategic Advisory
SV0178,CO0266,2021-02-10,Strategic planning,Regulatory compliance,$15K-$50K,1-3 months,In-house only,1,9,CFO,5,0,0,3060000,Due Diligence
SV0179,CO0360,2023-12-15,Valuation clarity,Working capital,>$150K,Immediate,None,1,9,COO,3,0,1,2940000,Fundraising
SV0180,CO0332,2023-09-06,Valuation clarity,Strategic planning,<$5K,6-12 months,Big 4,5,8,CFO,2,1,0,1470000,Due Diligence
SV0181,CO0406,2021-01-02,Strategic planning,Investor network,<$5K,1-3 months,Local boutique,1,1,Founder,1,0,1,1740000,Investor Matching
SV0182,CO0016,2022-11-11,Working capital,Valuation clarity,$50K-$150K,Immediate,None,5,7,COO,5,1,0,4600000,Strategic Advisory
SV0183,CO0012,2024-06-11,Regulatory compliance,Investor network,$50K-$150K,1-3 months,International bank,3,2,Founder,3,0,1,750000,Strategic Advisory
SV0184,CO0075,2022-02-17,Working capital,Valuation clarity,$50K-$150K,Immediate,In-house only,2,0,COO,2,1,0,5430000,M&A Advisory
SV0185,CO0212,2021-09-25,Investor network,Strategic planning,$50K-$150K,3-6 months,In-house only,3,10,CEO,2,0,1,2030000,Strategic Advisory
SV0186,CO0179,2022-11-29,Strategic planning,Investor network,$5K-$15K,6-12 months,Big 4,5,0,COO,5,1,1,6850000,Fundraising
SV0187,CO0129,2021-12-30,Working capital,Strategic planning,$5K-$15K,6-12 months,Big 4,4,9,COO,3,0,0,7840000,Fundraising
SV0188,CO0283,2022-10-25,Regulatory compliance,Access to capital,$50K-$150K,3-6 months,None,4,1,Founder,1,1,1,560000,Fundraising
SV0189,CO0195,2021-05-02,Working capital,Access to capital,$5K-$15K,1-3 months,Big 4,3,6,Founder,5,1,0,1680000,Investor Matching
